defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/HP_0002188	Delayed CNS myelination	http://purl.obolibrary.org/obo/GO_0022010	central nervous system myelination
http://purl.obolibrary.org/obo/HP_0012569	Delayed menarche	http://purl.obolibrary.org/obo/GO_0042696	menarche
http://purl.obolibrary.org/obo/HP_0012448	Delayed myelination	http://purl.obolibrary.org/obo/GO_0042552	myelination
http://purl.obolibrary.org/obo/HP_0011401	Delayed peripheral myelination	http://purl.obolibrary.org/obo/GO_0022011	myelination in peripheral nervous system
http://purl.obolibrary.org/obo/HP_0000823	Delayed puberty	http://purl.obolibrary.org/obo/GO_0045136	development of secondary sexual characteristics
http://purl.obolibrary.org/obo/HP_0001510	Growth delay	http://purl.obolibrary.org/obo/GO_0040007	growth
