source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	tw	HP:0000248	rdfs:label	Brachycephaly	Ꜫtiri anim ntwerεw tiatia sε yε de toto/susu nterεm	OFFICIAL
en	tw	HP:0002676	rdfs:label	Cloverleaf skull	ε tiri ne su na ayε  sε akwamfanu ahaban	OFFICIAL
en	tw	HP:0000278	rdfs:label	Retrognathia	Fam apantan ntwerεw ne terεm a so huan/teε	OFFICIAL
en	tw	HP:0012370	rdfs:label	Prominence of the zygomatic bone	Afono dompe terε	OFFICIAL
en	tw	HP:0010669	rdfs:label	Hypoplasia of the zygomatic bone	Afono dompe εnnyin yie	OFFICIAL
en	tw	HP:0010759	rdfs:label	Prominence of the premaxilla	Dompe a	OFFICIAL
en	tw	HP:0000336	rdfs:label	Prominent supraorbital ridges	ntↄn ase	OFFICIAL
en	tw	HP:0009891	rdfs:label	Underdeveloped supraorbital ridges	ↄn nwi ase	OFFICIAL
en	tw	HP:0001126	rdfs:label	Cryptophthalmos	εsoro ne fam anikyi a nni h	OFFICIAL
en	tw	HP:0000506	rdfs:label	Telecanthus	kwan a, εda εsoro ne fam anikyi ntam	OFFICIAL
en	tw	HP:0100876	rdfs:label	Infra-orbital crease	Ani nhoma a	OFFICIAL
en	tw	HP:0001092	rdfs:label	Absent lacrimal punctum	Ka ma esi so tete biara   εnni hↄ	OFFICIAL
en	tw	HP:0010748	rdfs:label	Ectopic lacrimal punctum	afiri baeε a, εsesε   εwↄ   atↄ   babi foro  koraa	OFFICIAL
en	tw	HP:0009892	rdfs:label	Anotia	Aso mu no yinaa εnni  hↃ	OFFICIAL
en	tw	HP:0010296	rdfs:label	Ankyloglossia	Tekyεma a so hwane esiane    biribi aky	OFFICIAL
en	tw	HP:0000678	rdfs:label	Dental crowding	Ꜫsoro ne fam pantan nse no ayε atenten kyen afimnfini dea no	OFFICIAL
en	tw	HP:0000687	rdfs:label	Widely spaced teeth	kwan   a ba nse pi no ara/dodo ara gyenn ntam	OFFICIAL
en	tw	HP:0000699	rdfs:label	Diastema	kwan a ba da nse mmienu  a ↄ	OFFICIAL
en	tw	HP:0006288	rdfs:label	Advanced eruption of teeth	Nse  εfifi ntam kyεn abofra no mfei	OFFICIAL
en	tw	HP:0000684	rdfs:label	Delayed eruption of teeth	Nse εturuturui ntam kyε n abofra no mfei	OFFICIAL
en	tw	HP:0000212	rdfs:label	Gingival overgrowth	Aneneduru ayε   duruduru	OFFICIAL
en	tw	HP:0001572	rdfs:label	Macrodontia	Nse εyε akεseε kyen adedade no	OFFICIAL
en	tw	HP:0000691	rdfs:label	Microdontia	Nse  εyε  nketekete kyen adedade	OFFICIAL
en	tw	HP:0010807	rdfs:label	Open bite	Ꜫkwan abↄ aba da soro ne fam nse ntam sε wo ka nse no siso	OFFICIAL
en	tw	HP:0000695	rdfs:label	Natal tooth	Nse εwↄ hↄ anom ansana yε  bε awo no	OFFICIAL
en	tw	HP:0006480	rdfs:label	Premature loss of teeth	Nse nufukyifo no atutu/nse enyiniieε  na atutuo	OFFICIAL
en	tw	HP:0011069	rdfs:label	Supernumerary tooth	Nse nkaho/adankyεu	OFFICIAL
en	tw	HP:0000218	rdfs:label	High palate	Anom atifi emu yε tenten sen/kyεn nea εnam	OFFICIAL
en	tw	HP:0000189	rdfs:label	Narrow palate	Anom tifi nterεm a εso hwane	OFFICIAL
en	tw	HP:0011090	rdfs:label	Fused teeth	Nse mmienu a,akabom baako  wↄ  mmepↄ baako so	OFFICIAL
en	tw	HP:0005914	rdfs:label	Aplasia/Hypoplasia involving the metacarpal bones	Nsa babiara a  εnni hↄ de firi bakↄn so ba fam	OFFICIAL
en	tw	HP:0009776	rdfs:label	Adactyly	Nsatea anaa nansoa a  εnni hↄ	OFFICIAL
en	tw	HP:0010491	rdfs:label	Digital constriction ring	Nsatea anaa nansoa akabom anaa ayε ntiatia	OFFICIAL
en	tw	HP:0010744	rdfs:label	Absent metatarsal bone	Ꜫnan tibea/sibea a  εnni hↄ  de firi a εnanposo/nantwea so no de rekↄ	OFFICIAL
en	tw	HP:0006265	rdfs:label	Aplasia/Hypoplasia of fingers	Nsatea  εyε nketewa sen/kyεn nsa no,s	OFFICIAL
en	tw	HP:0005927	rdfs:label	Aplasia/hypoplasia involving bones of the hand	Nsa yεbea/sibea a εyε  ketewa moroso kyen nipadua no anaa ne mfe	OFFICIAL
en	tw	HP:0001761	rdfs:label	Pes cavus	Kontonkurowi fa a  εsoa biribi  /tↄte,awerε,bↄwer ε	OFFICIAL
en	tw	HP:0001857	rdfs:label	Short distal phalanx of toe	Kwan tiatia  εda nansoa aso ntam	OFFICIAL
en	tw	HP:0009882	rdfs:label	Short distal phalanx of finger	Kwan tiatia  εda nsatea aso ne   ntam	OFFICIAL
en	tw	HP:0100490	rdfs:label	Camptodactyly of finger	Ꜫpo no a εwↄ   no mu no akonton/kyea  εnti yε    den sε   nsatea bε   tene	OFFICIAL
en	tw	HP:0040019	rdfs:label	Finger clinodactyly	Nsatea(pinky finger) a ,akyea  a bε   hwε   nsatea εto nnan no so (akyerekyere kwan)	OFFICIAL
en	tw	HP:0011298	rdfs:label	Prominent digit pad	Nsa ano ahonhon/soasoa	OFFICIAL
en	tw	HP:0001839	rdfs:label	Split foot	Cleft emu dↄ a Ꜫwↄ nan na mfinimfinia εne nansoa no bo bera,abiraa nansoa no bi nni hꜪ	OFFICIAL
en	tw	HP:0009380	rdfs:label	Aplasia of the fingers	Nsatea εnni hↄ	OFFICIAL
en	tw	HP:0001500	rdfs:label	Broad finger	Nsatea εterε /Ꜫdↄ na εnyε  kokurobeti no	OFFICIAL
en	tw	HP:0001238	rdfs:label	Slender finger	Nsatea  εyε  teatea/tratra   sen nipadua no size	OFFICIAL
en	tw	HP:0011299	rdfs:label	Partial absence of finger	Nsatea no fa ne hↄ	OFFICIAL
en	tw	HP:0009381	rdfs:label	Short finger	Nsatea εyε nketewa sε   yε  de toto ne nsa no ho a	OFFICIAL
en	tw	HP:0001199	rdfs:label	Triphalangeal thumb	kokurobeti a,εwↄ dompe nketewa mmiεnsa,nanso na  εwↄ sε   εyε mmienu	OFFICIAL
en	tw	HP:0010554	rdfs:label	Cutaneous finger syndactyly	Nsatea mmienu anaa deε  εboro saa honam no kaabom baako nanso εnyε  doompe no.	OFFICIAL
en	tw	HP:0100807	rdfs:label	Long fingers	Nsatea a, εyε  tenten sε  yε  de toto  nsa no ho a	OFFICIAL
en	tw	HP:0010557	rdfs:label	Overlapping fingers	Nsatea εdada yↄnkoↄ  so sa nsa no homea.	OFFICIAL
en	tw	HP:0030029	rdfs:label	Splayed fingers	Nsatea a hata	OFFICIAL
en	tw	HP:0011300	rdfs:label	Broad fingertip	Nsatea ano/hwεti tεterε	OFFICIAL
en	tw	HP:0001831	rdfs:label	Short toe	Nanasoa  εyε  de toto εnan no size ho	OFFICIAL
en	tw	HP:0001769	rdfs:label	Broad foot	 Ꜫnan εyε tεterε/baya sen/kyεn ne twerεm	OFFICIAL
en	tw	HP:0010717	rdfs:label	Osseous syndactyly of toes	Nsatea mmienu anaa deε  εboro saa akabom baako	OFFICIAL
en	tw	HP:0030032	rdfs:label	Partial absence of foot	 Ꜫnan afa/ↄfa εnni hↄ	OFFICIAL
en	tw	HP:0001830	rdfs:label	Postaxial foot polydactyly	Nansoa foforo a, ba nansoa no ho a,εyε  nansoa keseε  no	OFFICIAL
en	tw	HP:0001841	rdfs:label	Preaxial foot polydactyly	Nkaho a ba ka nansoa keseε  n ho	OFFICIAL
en	tw	HP:0001773	rdfs:label	Short foot	Ꜫnan  εyε   tia kyen nipadua no εma obaakofo	OFFICIAL
en	tw	HP:0012386	rdfs:label	Absent hallux	Nansoa keseε  no nni hↄ koraa	OFFICIAL
en	tw	HP:0010055	rdfs:label	Broad hallux	Nansoa keseꜪ   emu terε   εmoroso	OFFICIAL
en	tw	HP:0001765	rdfs:label	Hammertoe	Nansoa emu koa/kyea/konton εwꜪ. wↄ dompe no εpo a,εtoso mmienu	OFFICIAL
en	tw	HP:0001171	rdfs:label	Split hand	Nsatea  baako,mmienu anaa deε  boro saa akabom baako na agya kokurobeti no koraa	OFFICIAL
en	tw	HP:0004283	rdfs:label	Narrow palm	hwεa ema nsa no ntwrε  rεm	OFFICIAL
en	tw	HP:0012428	rdfs:label	Prominent calcaneus	Ꜫpo bi abε  nantin no akyi	OFFICIAL
en	tw	HP:0009601	rdfs:label	Aplasia/Hypoplasia of the thumb	kokurobeti a  εnni hↄ	OFFICIAL
en	tw	HP:0011305	rdfs:label	Partial absence of toe	Nanso fa  εnni hↄ	OFFICIAL
en	tw	HP:0010487	rdfs:label	Small hypothenar eminence	Nsayam nam a,so huan hye nsatea na se	OFFICIAL
en	tw	HP:0010049	rdfs:label	Short metacarpal	Nsayam dompe baako /dea boro sa ayε     tiatia	OFFICIAL
en	tw	HP:0010743	rdfs:label	Short metatarsal	nsoa ayε  sε      tiatia	OFFICIAL
en	tw	HP:0010689	rdfs:label	Mirror image polydactyly	Nsatea honam ade  nsεso/mfonini nkaho ebi   bi aba kaho	OFFICIAL
en	tw	HP:0001852	rdfs:label	Sandal gap	Ꜫkwan emu terε  a, εda nansoa keseε ne nea ↄto so abien/mmienu no ntam	OFFICIAL
en	tw	HP:0011304	rdfs:label	Broad thumb	kokurobeti/kokuromoti a,εteterε     sen/kyεn emu duru	OFFICIAL
en	tw	HP:0009659	rdfs:label	Partial absence of thumb	kokurobeti/kokuromoti a,ↄfa nni hↄ	OFFICIAL
en	tw	HP:0010170	rdfs:label	Small epiphyses of the toes	nansoa εyε ketewa sen/kyεn εnan anaa honam no	OFFICIAL
en	tw	HP:0010511	rdfs:label	Long toe	Nansoa a,εpue tenten sε  de toto εnan no ho	OFFICIAL
en	tw	HP:0011308	rdfs:label	Slender toe	Nansoa εyε teatea sen/kyↄ       Ↄ          ε	OFFICIAL
en	tw	HP:0011309	rdfs:label	Tapered toe	nansoa ayε perεu	OFFICIAL
en	tw	HP:0010055	rdfs:label	Broad hallux	Nansoa εmu terε  nanso   εnyε     keseε	OFFICIAL
en	tw	HP:0001845	rdfs:label	Overlapping toe	Nansoa  εdada yↄnko so	OFFICIAL
en	tw	HP:0011307	rdfs:label	Splayed toes	Nansoa a hyehye yie	OFFICIAL
