defined_class	defined_class_label	pato	pato_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label	Added to HPO: https://github.com/obophenotype/human-phenotype-ontology/pull/5780
HP:0500270	Increased proportion of gamma-delta T cells	PATO:0040043	increased proportionality to	CL:0000798	gamma-delta T cell	CL:0000084	T cell	UBERON:0000178	blood	
HP:0500273	Increased proportion of immature gamma-delta T cell	PATO:0040043	increased proportionality to	CL:0000799	immature gamma-delta T cell	CL:0000084	T cell	UBERON:0000178	blood	
