defined_class	defined_class_label	pato	pato_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
HP:0041052	Abnormal proportion of exhausted T cells	PATO:0040042	proportionality to	CL:0011025	exhausted T cell	CL:0000084	T cells	UBERON:0000178	blood
HP:0500269	Abnormal proportion of gamma-delta T cells	PATO:0001470	proportionality to	CL:0000798	gamma-delta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0500272	Abnormal proportion of immature gamma-delta T cell	PATO:0040042	proportionality to	CL:0000798	immature gamma-delta	CL:0000084	T cell	UBERON:0000178	blood
