defined_class	defined_class_label	pato	pato_label	cell	cell_label	location	location_label
HP:0500271	Decreased proportion of gamma-delta T cells	PATO:0040042	decreased proportionality to	CL:0000798	gamma-delta T cell	UBERON:0000178	blood
HP:0500274	Decreased proportion of immature gamma-delta T cell	PATO:0040042	decreased proportionality to	CL:0000799	immature gamma-delta	UBERON:0000178	blood
