group	NodeDeletion	NodeMove	NodeRename
uberon	5684		
cell	640		
biological_process	4156		
__RESIDUAL__	2999	1957	2
quality	495		
protein	226		
chebi_ontology	1573		
ncbi_taxonomy	103		
human_developmental_stage	15		
mouse_pathology.ontology	75		
cellular_component	225		
molecular_function	149		
behavior_ontology	120		
external	48		
gene	36		
cl	3		
bfo	3		
human_stages_ontology	1		
gene_ontology	3		
sequence	4		
obi	1		
