?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0010055>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nansoa εmu terε  nanso   εnyε     keseε"@tw	"Broad hallux"	"Nansoa keseꜪ   emu terε   εmoroso"@tw	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010055>	<http://www.w3.org/2000/01/rdf-schema#label>	"Nansoa keseꜪ   emu terε   εmoroso"@tw	"Broad hallux"	"Nansoa εmu terε  nanso   εnyε     keseε"@tw	"OFFICIAL"
