?property	?contributor	?type	?count
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5243-225X>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-4095-8489>	"XREF"	73
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-3411-9598>	"XREF"	2
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:gcarlotti"	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-4095-8489>	"CREATOR"	1
<http://www.w3.org/2000/01/rdf-schema#comment>	<http://www.wikidata.org/entity/Q90573458>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:KI_phemming"	"XREF"	11
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0009-0004-0873-4444>	"CREATOR"	19
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5208-3432>	"XREF"	80
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-6387-4317>	"CREATOR"	3
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-1785-7126>	"CREATOR"	65
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-9446-5121>	"CREATOR"	69
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-0072-5522>	"CREATOR"	19
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6410-0882>	"XREF"	45
<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	<https://orcid.org/0000-0001-6908-9849>	"XREF"	5
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:RGD_sjwang"	"XREF"	13
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-7405-0954>	"CREATOR"	19
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UToronto_bgallinger"	"XREF"	12
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-2592-4715>	"XREF"	8
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-7744-1790>	"XREF"	29
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-0003-6754>	"XREF"	2
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-0113-912X>	"CREATOR"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-0113-912X>	"XREF"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5298-0168>	"XREF"	1
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	<https://orcid.org/0000-0001-5208-3432>	"XREF"	94
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0001-9114-8737>	"CREATOR"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-7440-8864>	"XREF"	10
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-0736-9199>	"CREATOR"	7749
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:RGD_gthayman"	"XREF"	11
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-7651-2403>	"CREATOR"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-7651-2403>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_dbrown"	"XREF"	143
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-5655-9589>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-7062-8192>	"CREATOR"	65
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-6548-5200>	"XREF"	306
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-5554-6946>	"CREATOR"	69
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-8423-2623>	"CREATOR"	39
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-6996-5279>	"CREATOR"	202
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-2854-0167>	"CREATOR"	4
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-7941-2961>	"CREATOR"	65
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:jalbers"	"XREF"	91
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-7941-2961>	"XREF"	51
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-2826-3879>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9102-5232>	"XREF"	3
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0002-6548-5200>	"XREF"	1
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0002-0736-9199>	"XREF"	6
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9353-549>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-4672-4923>	"CREATOR"	69
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:fprobst"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_dfitzpatrick"	"XREF"	17
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6310-0434>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-3777-1389>	"CREATOR"	98
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-6310-0434>	"CREATOR"	1
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-8430-6039>	"XREF"	38
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-7954-5235>	"CREATOR"	56
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-9112-5148>	"CREATOR"	44
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0001-6908-9849>	"XREF"	12
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-8134-1207>	"CREATOR"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:Eurenomics_fschaefer"	"XREF"	32
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-3387-1836>	"CREATOR"	46
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-6908-9849>	"XREF"	326
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0002-0736-9199>	"XREF"	3
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-0003-6754>	"CREATOR"	18
