?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/HP_0000057>	"HP:0008665"	
<http://purl.obolibrary.org/obo/HP_0000284>	"HP:0000315"	
<http://purl.obolibrary.org/obo/HP_0000361>	"HP:0008629"	
<http://purl.obolibrary.org/obo/HP_0000487>	"HP:0000486"	
<http://purl.obolibrary.org/obo/HP_0000489>		"HP:0100886"
<http://purl.obolibrary.org/obo/HP_0000489>		"HP:0100887"
<http://purl.obolibrary.org/obo/HP_0000547>	"HP:0000510"	
<http://purl.obolibrary.org/obo/HP_0000611>	"HP:0000567"	
<http://purl.obolibrary.org/obo/HP_0000655>	"HP:0007773"	
<http://purl.obolibrary.org/obo/HP_0000833>	"HP:0001952"	
<http://purl.obolibrary.org/obo/HP_0001002>	"HP:0003758"	
<http://purl.obolibrary.org/obo/HP_0001011>	"HP:0000975"	
<http://purl.obolibrary.org/obo/HP_0001113>	"HP:0000518"	
<http://purl.obolibrary.org/obo/HP_0001122>		"HP:0000610"
<http://purl.obolibrary.org/obo/HP_0001145>		"HP:0000532"
<http://purl.obolibrary.org/obo/HP_0001146>	"HP:0000580"	
<http://purl.obolibrary.org/obo/HP_0001150>		"HP:0000532"
<http://purl.obolibrary.org/obo/HP_0001226>	"HP:0006121"	
<http://purl.obolibrary.org/obo/HP_0001322>	"HP:0006872"	
<http://purl.obolibrary.org/obo/HP_0001379>	"HP:0002758"	
<http://purl.obolibrary.org/obo/HP_0001380>	"HP:0001388"	
<http://purl.obolibrary.org/obo/HP_0001400>	"HP:0100523"	
<http://purl.obolibrary.org/obo/HP_0001472>	"HP:0001426"	
<http://purl.obolibrary.org/obo/HP_0001487>	"HP:0007894"	
<http://purl.obolibrary.org/obo/HP_0001587>		
<http://purl.obolibrary.org/obo/HP_0001606>	"HP:0001605"	
<http://purl.obolibrary.org/obo/HP_0001613>	"HP:0001609"	
<http://purl.obolibrary.org/obo/HP_0001673>	"HP:0001649"	
<http://purl.obolibrary.org/obo/HP_0001675>	"HP:0011675"	
<http://purl.obolibrary.org/obo/HP_0001676>	"HP:0001962"	
<http://purl.obolibrary.org/obo/HP_0001724>	"HP:0004942"	
<http://purl.obolibrary.org/obo/HP_0001726>		"HP:0001654"
<http://purl.obolibrary.org/obo/HP_0001862>	"HP:0006121"	
<http://purl.obolibrary.org/obo/HP_0002109>	"HP:0025426"	
<http://purl.obolibrary.org/obo/HP_0002271>	"HP:0012332"	
<http://purl.obolibrary.org/obo/HP_0002377>	"HP:0006824"	
<http://purl.obolibrary.org/obo/HP_0002459>	"HP:0012332"	
<http://purl.obolibrary.org/obo/HP_0002564>	"HP:0030680"	
<http://purl.obolibrary.org/obo/HP_0002622>	"HP:0002647"	
<http://purl.obolibrary.org/obo/HP_0002631>	"HP:0002616"	
<http://purl.obolibrary.org/obo/HP_0002755>	"HP:0002754"	
<http://purl.obolibrary.org/obo/HP_0002773>	"HP:0008479"	
<http://purl.obolibrary.org/obo/HP_0002845>	"HP:0002851"	
<http://purl.obolibrary.org/obo/HP_0002880>	"HP:0002098"	
<http://purl.obolibrary.org/obo/HP_0002924>	"HP:0004319"	
<http://purl.obolibrary.org/obo/HP_0003114>	"HP:0001626"	
<http://purl.obolibrary.org/obo/HP_0003295>		"HP:0030339"
<http://purl.obolibrary.org/obo/HP_0003335>	"HP:0000044"	
<http://purl.obolibrary.org/obo/HP_0003340>		"HP:0000951"
<http://purl.obolibrary.org/obo/HP_0003421>	"HP:0000926"	
<http://purl.obolibrary.org/obo/HP_0003464>	"HP:0003107"	
<http://purl.obolibrary.org/obo/HP_0003490>	"HP:0003150"	
<http://purl.obolibrary.org/obo/HP_0003494>		"HP:0001428"
<http://purl.obolibrary.org/obo/HP_0003553>	"HP:0100658"	
<http://purl.obolibrary.org/obo/HP_0003975>	"HP:0004000"	
<http://purl.obolibrary.org/obo/HP_0004066>		"HP:0009602"
<http://purl.obolibrary.org/obo/HP_0004083>		"HP:0005895"
<http://purl.obolibrary.org/obo/HP_0004090>		"HP:0009662"
<http://purl.obolibrary.org/obo/HP_0004110>		"HP:0009542"
<http://purl.obolibrary.org/obo/HP_0004121>		"HP:0009544"
<http://purl.obolibrary.org/obo/HP_0004138>		"HP:0009541"
<http://purl.obolibrary.org/obo/HP_0004139>		"HP:0009569"
<http://purl.obolibrary.org/obo/HP_0004143>		"HP:0009542"
<http://purl.obolibrary.org/obo/HP_0004144>	"HP:0009948"	
<http://purl.obolibrary.org/obo/HP_0004153>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004157>	"HP:0009963"	
<http://purl.obolibrary.org/obo/HP_0004161>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004162>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004168>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004174>	"HP:0009963"	
<http://purl.obolibrary.org/obo/HP_0004175>		"HP:0004172"
<http://purl.obolibrary.org/obo/HP_0004183>		"HP:0009357"
<http://purl.obolibrary.org/obo/HP_0004184>		"HP:0009423"
<http://purl.obolibrary.org/obo/HP_0004185>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004186>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004187>		"HP:0009316"
<http://purl.obolibrary.org/obo/HP_0004192>	"HP:0009394"	
<http://purl.obolibrary.org/obo/HP_0004193>		"HP:0009172"
<http://purl.obolibrary.org/obo/HP_0004194>		"HP:0009408"
<http://purl.obolibrary.org/obo/HP_0004196>		"HP:0009408"
<http://purl.obolibrary.org/obo/HP_0004198>		"HP:0009172"
<http://purl.obolibrary.org/obo/HP_0004201>	"HP:0009310"	
<http://purl.obolibrary.org/obo/HP_0004202>	"HP:0009312"	
<http://purl.obolibrary.org/obo/HP_0004203>	"HP:0009300"	
<http://purl.obolibrary.org/obo/HP_0004355>	"HP:0001939"	
<http://purl.obolibrary.org/obo/HP_0004367>	"HP:0001939"	
<http://purl.obolibrary.org/obo/HP_0004759>		
<http://purl.obolibrary.org/obo/HP_0004760>		"HP:0001671"
<http://purl.obolibrary.org/obo/HP_0004928>	"HP:0004950"	
<http://purl.obolibrary.org/obo/HP_0004929>	"HP:0001677"	
<http://purl.obolibrary.org/obo/HP_0004953>	"HP:0005112"	
<http://purl.obolibrary.org/obo/HP_0004954>	"HP:0004959"	
<http://purl.obolibrary.org/obo/HP_0004986>	"HP:0006381"	
<http://purl.obolibrary.org/obo/HP_0005111>	"HP:0004970"	
<http://purl.obolibrary.org/obo/HP_0005114>	"HP:0011004"	
<http://purl.obolibrary.org/obo/HP_0005130>	"HP:0001723"	
<http://purl.obolibrary.org/obo/HP_0005141>	"HP:0004751"	
<http://purl.obolibrary.org/obo/HP_0005173>	"HP:0004380"	
<http://purl.obolibrary.org/obo/HP_0005296>	"HP:0004950"	
<http://purl.obolibrary.org/obo/HP_0005298>	"HP:0006695"	
<http://purl.obolibrary.org/obo/HP_0005299>	"HP:0004950"	
<http://purl.obolibrary.org/obo/HP_0005309>	"HP:0004950"	
