source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	dtp	HP:0000252	rdfs:label	Microcephaly	Okoro tulu	OFFICIAL
en	dtp	HP:0000256	rdfs:label	Macrocephaly	Toruol do gumayo tulu	OFFICIAL
en	dtp	HP:0000262	rdfs:label	Turricephaly	Alangkou tulu	OFFICIAL
en	dtp	HP:0000248	rdfs:label	Brachycephaly	Okoro/ onibo do tipus gisom do rabas	OFFICIAL
en	dtp	HP:0000268	rdfs:label	Dolichocephaly	Anaru do tipus gisom do rabas	OFFICIAL
en	dtp	HP:0002676	rdfs:label	Cloverleaf skull	Linumahis tulu intoguang	OFFICIAL
en	dtp	HP:0005469	rdfs:label	Flat occiput	Linumabi ikakawas liou tolikud	OFFICIAL
en	dtp	HP:0000269	rdfs:label	Prominent occiput	Poingayo tulu ponong dohuri	OFFICIAL
en	dtp	HP:0001357	rdfs:label	Plagiocephaly	Poinlab tulang tulu ikawas tulu amu nourod	OFFICIAL
en	dtp	HP:0010814	rdfs:label	Abnormal position of hair whorl	Tompirulu daa suai-suai nga tampat	OFFICIAL
en	dtp	HP:0000276	rdfs:label	Long face	Anaru turos	OFFICIAL
en	dtp	HP:0005914	rdfs:label	Aplasia/Hypoplasia involving the metacarpal bones	Aiso longon, inggaa longon, aiso lungaiyan, inggaa lungaiyan, napapad longon, noputut longon	OFFICIAL
en	dtp	HP:0009776	rdfs:label	Adactyly	Lapap aiso tunturuu	OFFICIAL
