defined_class	defined_class_label	pato	pato_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
HP:0031398	Elevated proportion of naive T cells	PATO:0040043	increased proportionality to	CL:0000898	naïve T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032128	Increased proportion of plasmablasts	PATO:0040043	increased proportionality to	CL:0000980	plasmablast	CL:0000236	B cell	UBERON:0000178	blood
HP:0032184	Increased proportion of memory T cells	PATO:0040043	increased proportionality to	CL:0000813	memory T cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030381	Increased proportion of transitional B cells	PATO:0040043	increased proportionality to	CL:0000818	transitional stage B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030377	Increased proportion of immature B cells	PATO:0040043	increased proportionality to	CL:0000816	immature B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030385	Increased proportion of marginal zone B cells	PATO:0040043	increased proportionality to	CL:0000845	marginal zone B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0030375	Increased proportion of memory B cells	PATO:0040043	increased proportionality to	CL:0000787	memory B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030371	Increased proportion of naive B cells	PATO:0040043	increased proportionality to	CL:0000788	naive B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030387	Increased proportion of class-switched memory B cells	PATO:0040043	increased proportionality to	CL:0000972	class switched memory B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0410392	Increased proportion of CD8-positive, alpha-beta T cells	PATO:0040043	Increased proportion of CD8-positive, alpha-beta T cells	CL:0000909	cd8-positive, alpha-beta memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410391	Increased proportion of CD4-positive, alpha-beta memory T cells	PATO:0040043	increased proportionality to	CL:0000897	CD4-positive, alpha-beta memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0500265	Increased proportion of CD8-positive, alpha-beta TEMRA T cells	PATO:0040043	increased proportionality to	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CL:0000084	T cell	UBERON:0000178	blood
HP:0500264	Increased helper T cell propotion	PATO:0040043	increased proportionality to	CL:0000912	helper T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032219	Increased proportion of CD4-positive T cells	PATO:0040043	increased proportionality to	CL:0000624	CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410375	Increased proportion of naive CD4 T cells	PATO:0040042	proportionality to	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0025621	Increased proportion of CD4+ central memory cells	PATO:0040043	increased proportionality to	CL:0000904	central memory CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0025625	Elevated proportion of CD4+ effector memory T cells	PATO:0040043	increased proportionality to	CL:0001044	effector CD4-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410395	Increased proportion of effector memory CD8-positive, alpha-beta T cells	PATO:0040043	increased proportionality to	CL:0001050	effector CD8-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0410396	Increased proportion of central memory CD8-positive, alpha-beta T cells	PATO:0040043	increased proportionality to	CL:0000907	central memory CD8-positive, alpha-beta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0031514	Increased proportion of exhausted T cells	PATO:0040043	increased proportionality to	CL:0011025	exhausted T cell	CL:0000084	T cells	UBERON:0000178	blood
