defined_class	defined_class_label	behavior_process	behavior_process_label
HP:0000817	Poor eye contact	NBO:0000616	eye contact
HP:0000745	Diminished motivation	NBO:0000233	motivation behavior
HP:0000734	Disinhibition	NBO:0000604	social inhibition
HP:0000728	Impaired ability to form peer relationships	NBO:0000043	bonding behavior
HP:0000721	Lack of spontaneous play	NBO:0000075	playing behavior
