defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
HP:0100232	Small epiphysis of the proximal phalanx of the 5th toe	UBERON:0001437	epiphysis	UBERON:0004336	proximal phalanx of pedal digit 5
HP:0100221	Small epiphysis of the middle phalanx of the 5th toe	UBERON:0001437	epiphysis	UBERON:0004327	middle phalanx of pedal digit 5
HP:0100210	Small epiphysis of the distal phalanx of the 5th toe	UBERON:0001437	epiphysis	UBERON:0004319	distal phalanx of pedal digit 5
HP:0100199	Small epiphysis of the proximal phalanx of the 4th toe	UBERON:0001437	epiphysis	UBERON:0004335	proximal phalanx of pedal digit 4
HP:0100188	Small epiphysis of the middle phalanx of the 4th toe	UBERON:0001437	epiphysis	UBERON:0004326	middle phalanx of pedal digit 4
HP:0100177	Small epiphysis of the distal phalanx of the 4th toe	UBERON:0001437	epiphysis	UBERON:0004318	distal phalanx of pedal digit 4
HP:0100165	Small epiphysis of the proximal phalanx of the 3rd toe	UBERON:0001437	epiphysis	UBERON:0004334	proximal phalanx of pedal digit 3
HP:0100154	Small epiphysis of the middle phalanx of the 3rd toe	UBERON:0001437	epiphysis	UBERON:0004325	middle phalanx of pedal digit 3
HP:0100143	Small epiphysis of the distal phalanx of the 3rd toe	UBERON:0001437	epiphysis	UBERON:0004317	distal phalanx of pedal digit 3
HP:0100130	Small epiphysis of the proximal phalanx of the 2nd toe	UBERON:0001437	epiphysis	UBERON:0004333	proximal phalanx of pedal digit 2
HP:0100119	Small epiphysis of the middle phalanx of the 2nd toe	UBERON:0001437	epiphysis	UBERON:0004324	middle phalanx of pedal digit 2
HP:0100108	Small epiphysis of the distal phalanx of the 2nd toe	UBERON:0001437	epiphysis	UBERON:0004316	distal phalanx of pedal digit 2
HP:0100085	Small epiphyses of the 5th toe	UBERON:0001437	epiphysis	UBERON:0003635	pedal digit 5
HP:0100074	Small epiphyses of the 4th toe	UBERON:0001437	epiphysis	UBERON:0003634	pedal digit 4
HP:0100063	Small epiphyses of the 3rd toe	UBERON:0001437	epiphysis	UBERON:0003633	pedal digit 3
HP:0100052	Small epiphyses of the 2nd toe	UBERON:0001437	epiphysis	UBERON:0003632	pedal digit 2
