defined_class	defined_class_label	pato	pato_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
HP:0031397	Reduced proportion of naive T cells	PATO:0040042	decreased proportionality to	CL:0000898	naive T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032129	Decreased proportion of plasmablasts	PATO:0040042	decreased proportionality to	CL:0000980	plasmablast	CL:0000236	B cell	UBERON:0000178	blood
HP:0032183	Decreased proportion of memory T cells	PATO:0040042	decreased proportionality to	CL:0000813	memory T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0030380	Decreased proportion of transitional B cells	PATO:0040042	decreased proportionality to	CL:0000818	transitional stage B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030378	Decreased proportion of immature B cells	PATO:0040042	decreased proportionality to	CL:0000816	immature B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030384	Decreased proportion of marginal zone B cells	PATO:0040042	decreased proportionality to	CL:0000845	marginal zone B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0030374	Decreased proportion of memory B cells	PATO:0040042	decreased proportionality to	CL:0000787	memory B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030372	Decreased proportion of naive B cells	PATO:0040042	decreased proportionality to	CL:0000788	naive B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0030388	Decreased proportion of class-switched memory B cells	PATO:0040042	decreased proportionality to	CL:0000972	class switched memory B cells	CL:0000236	B cell	UBERON:0000178	blood
HP:0410385	"Decreased proportion of CD8-positive, alpha-beta memory T cells"	PATO:0040042	decreased proportionality to	CL:0000909	"cd8-positive, alpha-beta memory T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0410386	"Decreased proportion of CD4-positive, alpha-beta memory T cells"	PATO:0040042	decreased proportionality to	CL:0000897	"CD4-positive, alpha-beta memory T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0500266	"Decreased proportion of CD8-positive, alpha-beta TEMRA T cells"	PATO:0040043	decreased proportionality to	CL:0001062	"effector memory CD8-positive, alpha-beta T cell, terminally differentiated"	CL:0000084	T cell	UBERON:0000178	blood
HP:0008165	Decreased helper T cell proportion	PATO:0040042	decreased proportionality to	CL:0000912	helper T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0032126	Decreased proportion of unswitched memory B cells	PATO:0040042	decreased proportionality to	CL:0000970	unswitched memory B cell	CL:0000236	B cell	UBERON:0000178	blood
HP:0005407	Decreased proportion of CD4-positive helper T cells	PATO:0040042	decreased proportionality to	CL:0000492	CD4-positive helper T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0005415	Decreased proportion of CD8-positive T cells	PATO:0040042	decreased proportionality to	CL:0000625	"CD8-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0032218	Decreased proportion of CD4-positive T cells	PATO:0040042	decreased proportionality to	CL:0000624	"CD4-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0410378	Decreased proportion of naive CD4 T cells	PATO:0040042	proportionality to	CL:0000895	"naive thymus-derived CD4-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0025622	Decreased proportion of CD4+ central memory cells	PATO:0040042	decreased proportionality to	CL:0000904	"central memory CD4-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0025624	Reduced proportion of CD4+ effector memory T cells	PATO:0040042	decreased proportionality to	CL:0001044	"effector CD4-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0410390	"Decreased proportion of effector memory CD8-positive, alpha-beta T cells"	PATO:0040042	decreased proportionality to	CL:0000913	"effector memory CD8-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0410389	"Decreased proportion of central memory CD8-positive, alpha-beta T cells"	PATO:0040042	decreased proportionality to	CL:0000907	"central memory CD8-positive, alpha-beta T cell"	CL:0000084	T cell	UBERON:0000178	blood
HP:0500271	Decreased proportion of gamma-delta T cells	PATO:0040042	decreased proportionality to	CL:0000798	gamma-delta T cell	CL:0000084	T cell	UBERON:0000178	blood
HP:0500274	Decreased proportion of immature gamma-delta T cell	PATO:0040043	decreased proportionality to	CL:0000799	immature gamma-delta T cell	CL:0000084	T cell	UBERON:0000178	blood
