defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/HP_0000357	Abnormal location of ears	http://purl.obolibrary.org/obo/UBERON_0001690	ear
http://purl.obolibrary.org/obo/HP_0040296	Abnormal location of the eyebrow	http://purl.obolibrary.org/obo/UBERON_0010163	eyebrow
http://purl.obolibrary.org/obo/HP_0010814	Abnormal position of hair whorl	http://purl.obolibrary.org/obo/UBERON_0014381	whorl of hair
http://purl.obolibrary.org/obo/HP_0100886	Abnormality of globe location	http://purl.obolibrary.org/obo/UBERON_0010230	eyeball of camera-type eye
http://purl.obolibrary.org/obo/HP_0010748	Ectopic lacrimal punctum	http://purl.obolibrary.org/obo/UBERON_0010284	lacrimal punctum
