defined_class	defined_class_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
http://purl.obolibrary.org/obo/HP_0410390	Decreased proportion of effector memory CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0000913	effector memory CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0500271	Decreased proportion of gamma-delta T cells	http://purl.obolibrary.org/obo/CL_0000798	gamma-delta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030378	Decreased proportion of immature B cells	http://purl.obolibrary.org/obo/CL_0000816	immature B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0500274	Decreased proportion of immature gamma-delta T cells	http://purl.obolibrary.org/obo/CL_0000799	immature gamma-delta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030384	Decreased proportion of marginal zone B cells	http://purl.obolibrary.org/obo/CL_0000845	marginal zone B cell of spleen	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030374	Decreased proportion of memory B cells	http://purl.obolibrary.org/obo/CL_0000787	memory B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0032183	Decreased proportion of memory T cells	http://purl.obolibrary.org/obo/CL_0000813	memory T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030372	Decreased proportion of naive B cells	http://purl.obolibrary.org/obo/CL_0000788	naive B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0410378	Decreased proportion of naive CD4 T cells	http://purl.obolibrary.org/obo/CL_0000895	naive thymus-derived CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0031397	Decreased proportion of naive T cells	http://purl.obolibrary.org/obo/CL_0000898	naive T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0032129	Decreased proportion of plasmablasts	http://purl.obolibrary.org/obo/CL_0000980	plasmablast	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030380	Decreased proportion of transitional B cells	http://purl.obolibrary.org/obo/CL_0000818	transitional stage B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0032126	Decreased proportion of unswitched memory B cells	http://purl.obolibrary.org/obo/CL_0000970	unswitched memory B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0025624	Reduced proportion of CD4+ effector memory T cells	http://purl.obolibrary.org/obo/CL_0001044	effector CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
