defined_class	defined_class_label	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/HP_0002332	Lack of peer relationships	http://purl.obolibrary.org/obo/NBO_0000043	bonding behavior
http://purl.obolibrary.org/obo/HP_0008763	No social interaction	http://purl.obolibrary.org/obo/NBO_0000011	social behavior
