defined_class	defined_class_label	entity	entity_label	shape	shape_label
http://purl.obolibrary.org/obo/HP_0000377	Abnormal pinna morphology	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0011218	Abnormal shape of the frontal region	http://purl.obolibrary.org/obo/UBERON_0001870	frontal cortex	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0011217	Abnormal shape of the occiput	http://purl.obolibrary.org/obo/UBERON_0001676	occipital bone	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0200005	Abnormal shape of the palpebral fissure	http://purl.obolibrary.org/obo/UBERON_0001819	palpebral fissure	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0040004	Abnormality of corneal shape	http://purl.obolibrary.org/obo/UBERON_0000964	cornea	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0011526	Abnormality of lens shape	http://purl.obolibrary.org/obo/UBERON_0000965	lens of camera-type eye	http://purl.obolibrary.org/obo/PATO_0000052	shape
http://purl.obolibrary.org/obo/HP_0008544	Abnormally folded helix	http://purl.obolibrary.org/obo/UBERON_0002488	helix of outer ear	http://purl.obolibrary.org/obo/PATO_0001910	folded
http://purl.obolibrary.org/obo/HP_0000907	Anterior rib cupping	http://purl.obolibrary.org/obo/UBERON_0002228	rib	http://purl.obolibrary.org/obo/PATO_0002154	splayed ventral
http://purl.obolibrary.org/obo/HP_0009927	Aplasia of the nose	http://purl.obolibrary.org/obo/UBERON_0000004	nose	http://purl.obolibrary.org/obo/PATO_0000617	bent
http://purl.obolibrary.org/obo/HP_0000483	Astigmatism	http://purl.obolibrary.org/obo/UBERON_0000964	cornea	http://purl.obolibrary.org/obo/PATO_0001848	asymmetrically curved
http://purl.obolibrary.org/obo/HP_0004568	Beaking of vertebral bodies	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum	http://purl.obolibrary.org/obo/PATO_0001955	cuneate
http://purl.obolibrary.org/obo/HP_0004586	Biconcave vertebral bodies	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum	http://purl.obolibrary.org/obo/PATO_0002039	biconcave
http://purl.obolibrary.org/obo/HP_0004625	Biconvex vertebral bodies	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum	http://purl.obolibrary.org/obo/PATO_0002040	biconvex
http://purl.obolibrary.org/obo/HP_0000813	Bicornuate uterus	http://purl.obolibrary.org/obo/UBERON_0000995	uterus	http://purl.obolibrary.org/obo/PATO_0002161	bicornuate
http://purl.obolibrary.org/obo/HP_0001647	Bicuspid aortic valve	http://purl.obolibrary.org/obo/UBERON_0002137	aortic valve	http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/HP_0005182	Bicuspid pulmonary valve	http://purl.obolibrary.org/obo/UBERON_0002146	pulmonary valve	http://purl.obolibrary.org/obo/PATO_0002281	biscupidate
http://purl.obolibrary.org/obo/HP_0011250	Bifid antitragus	http://purl.obolibrary.org/obo/UBERON_0016467	antitragus	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0009611	Bifid distal phalanx of the thumb	http://purl.obolibrary.org/obo/UBERON_0004337	distal phalanx of manual digit 1	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0001853	Bifid distal phalanx of toe	http://purl.obolibrary.org/obo/UBERON_0003867	distal phalanx of pes	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0010564	Bifid epiglottis	http://purl.obolibrary.org/obo/UBERON_0000388	epiglottis	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0010443	Bifid femur	http://purl.obolibrary.org/obo/UBERON_0000981	femur	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0009616	Bifid first metacarpal	http://purl.obolibrary.org/obo/UBERON_0003645	metacarpal bone of digit 1	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0003864	Bifid humerus	http://purl.obolibrary.org/obo/UBERON_0000976	humerus	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0010793	Bifid nail	http://purl.obolibrary.org/obo/UBERON_0001705	nail	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0000456	Bifid nasal tip	http://purl.obolibrary.org/obo/UBERON_0012128	nose tip	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0011803	Bifid nose	http://purl.obolibrary.org/obo/UBERON_0000004	nose	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0000892	Bifid ribs	http://purl.obolibrary.org/obo/UBERON_0002228	rib	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0009791	Bifid sacrum	http://purl.obolibrary.org/obo/UBERON_0003690	fused sacrum	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0000048	Bifid scrotum	http://purl.obolibrary.org/obo/UBERON_0001300	scrotum	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0010309	Bifid sternum	http://purl.obolibrary.org/obo/UBERON_0000975	sternum	http://purl.obolibrary.org/obo/PATO_0001784	bifurcated
http://purl.obolibrary.org/obo/HP_0008437	Bifid thoracic vertebrae	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0010297	Bifid tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0011269	Bifid tragus	http://purl.obolibrary.org/obo/UBERON_0010887	tragus	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0030037	Bifid ureter	http://purl.obolibrary.org/obo/UBERON_0000056	ureter	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0000136	Bifid uterus	http://purl.obolibrary.org/obo/UBERON_0000995	uterus	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0000193	Bifid uvula	http://purl.obolibrary.org/obo/UBERON_0001734	palatine uvula	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0100891	Bifid xiphoid process	http://purl.obolibrary.org/obo/UBERON_0002207	xiphoid process	http://purl.obolibrary.org/obo/PATO_0000403	cleft
http://purl.obolibrary.org/obo/HP_0003956	Bowed forearm bones	http://purl.obolibrary.org/obo/UBERON_0003466	forelimb zeugopod bone	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/HP_0003865	Bowed humerus	http://purl.obolibrary.org/obo/UBERON_0000976	humerus	http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/HP_0006488	Bowing of the arm	http://purl.obolibrary.org/obo/UBERON_0008962	forelimb bone	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/HP_0002979	Bowing of the legs	http://purl.obolibrary.org/obo/UBERON_0003823	hindlimb zeugopod	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/HP_0006487	Bowing of the long bones	http://purl.obolibrary.org/obo/UBERON_0002495	long bone	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/HP_0008756	Bowing of the vocal cords	http://purl.obolibrary.org/obo/UBERON_0003706	laryngeal vocal fold	http://purl.obolibrary.org/obo/PATO_0000406	curved
http://purl.obolibrary.org/obo/HP_0010578	Bracket epiphyses	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/PATO_0002142	bracket
