defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0003318	Cervical spine hypermobility	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra
http://purl.obolibrary.org/obo/HP_0045087	Hip joint hypermobility	http://purl.obolibrary.org/obo/UBERON_0001486	hip joint
http://purl.obolibrary.org/obo/HP_0006201	Hypermobility of distal interphalangeal joints	http://purl.obolibrary.org/obo/UBERON_0009768	distal interphalangeal joint
http://purl.obolibrary.org/obo/HP_0005620	Hypermobility of interphalangeal joints	http://purl.obolibrary.org/obo/UBERON_0006658	interphalangeal joint
http://purl.obolibrary.org/obo/HP_0001382	Joint hypermobility	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint
http://purl.obolibrary.org/obo/HP_0045086	Knee joint hypermobility	http://purl.obolibrary.org/obo/UBERON_0001485	knee joint
