defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0003327	Axial muscle weakness	http://purl.obolibrary.org/obo/UBERON_0003897	axial muscle
http://purl.obolibrary.org/obo/HP_0009113	Diaphragmatic weakness	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm
http://purl.obolibrary.org/obo/HP_0003392	First dorsal interossei muscle weakness	http://purl.obolibrary.org/obo/UBERON_0002988	first dorsal interosseous of manus
http://purl.obolibrary.org/obo/HP_0004661	Frontalis muscle weakness	http://purl.obolibrary.org/obo/UBERON_0010952	frontalis muscle belly
http://purl.obolibrary.org/obo/HP_0002578	Gastroparesis	http://purl.obolibrary.org/obo/UBERON_0008856	stomach muscularis externa
http://purl.obolibrary.org/obo/HP_0004878	Intercostal muscle weakness	http://purl.obolibrary.org/obo/UBERON_0001111	intercostal muscle
http://purl.obolibrary.org/obo/HP_0007340	Lower limb muscle weakness	http://purl.obolibrary.org/obo/UBERON_0010890	pelvic complex muscle
http://purl.obolibrary.org/obo/HP_0001324	Muscle weakness	http://purl.obolibrary.org/obo/UBERON_0001630	muscle organ
http://purl.obolibrary.org/obo/HP_0000467	Neck muscle weakness	http://purl.obolibrary.org/obo/UBERON_0002377	muscle of neck
http://purl.obolibrary.org/obo/HP_0003749	Pelvic girdle muscle weakness	http://purl.obolibrary.org/obo/UBERON_0001497	muscle of pelvic girdle
http://purl.obolibrary.org/obo/HP_0003731	Quadriceps muscle weakness	http://purl.obolibrary.org/obo/UBERON_0001377	quadriceps femoris
http://purl.obolibrary.org/obo/HP_0003547	Shoulder girdle muscle weakness	http://purl.obolibrary.org/obo/UBERON_0008196	muscle of pectoral girdle
http://purl.obolibrary.org/obo/HP_0003427	Thenar muscle weakness	http://purl.obolibrary.org/obo/UBERON_0014376	thenar muscle
http://purl.obolibrary.org/obo/HP_0003484	Upper limb muscle weakness	http://purl.obolibrary.org/obo/UBERON_0004481	musculature of upper limb
http://purl.obolibrary.org/obo/HP_0001604	Vocal cord paresis	http://purl.obolibrary.org/obo/UBERON_0003706	laryngeal vocal fold
http://purl.obolibrary.org/obo/HP_0007715	Weak extraocular muscles	http://purl.obolibrary.org/obo/UBERON_0001601	extra-ocular muscle
http://purl.obolibrary.org/obo/HP_0004347	Weakness of muscles of respiration	http://purl.obolibrary.org/obo/UBERON_0014398	respiratory muscle
http://purl.obolibrary.org/obo/HP_0012507	Weakness of orbicularis oculi muscle	http://purl.obolibrary.org/obo/UBERON_0001578	orbicularis oculi muscle
