defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/HP_0012292	Fusion of gums	http://purl.obolibrary.org/obo/UBERON_0011601	gingiva of upper jaw	http://purl.obolibrary.org/obo/UBERON_0011602	gingiva of lower jaw
http://purl.obolibrary.org/obo/HP_0005473	Fusion of middle ear ossicles	http://purl.obolibrary.org/obo/UBERON_0001686	auditory ossicle bone	http://purl.obolibrary.org/obo/UBERON_0001686	auditory ossicle bone
http://purl.obolibrary.org/obo/HP_0006899	Fusion of the cerebellar hemispheres	http://purl.obolibrary.org/obo/UBERON_0014889	left hemisphere of cerebellum	http://purl.obolibrary.org/obo/UBERON_0014890	right hemisphere of cerebellum
http://purl.obolibrary.org/obo/HP_0010664	Fusion of the left and right thalami	http://purl.obolibrary.org/obo/UBERON_0013683	left dorsal thalamus	http://purl.obolibrary.org/obo/UBERON_0013684	right dorsal thalamus
http://purl.obolibrary.org/obo/HP_0410259	Hepatopulmonary fusion	http://purl.obolibrary.org/obo/UBERON_0002107	liver	http://purl.obolibrary.org/obo/UBERON_0002048	lung
http://purl.obolibrary.org/obo/HP_0009701	Metacarpal synostosis	http://purl.obolibrary.org/obo/UBERON_0002374	metacarpal bone	http://purl.obolibrary.org/obo/UBERON_0002374	metacarpal bone
http://purl.obolibrary.org/obo/HP_0001440	Metatarsal synostosis	http://purl.obolibrary.org/obo/UBERON_0001448	metatarsal bone	http://purl.obolibrary.org/obo/UBERON_0001448	metatarsal bone
http://purl.obolibrary.org/obo/HP_0006152	Proximal symphalangism of hands	http://purl.obolibrary.org/obo/UBERON_0002234	proximal phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003637	manual digit 3 phalanx
http://purl.obolibrary.org/obo/HP_0009482	Proximal/middle symphalangism of 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004329	proximal phalanx of manual digit 3	http://purl.obolibrary.org/obo/UBERON_0004321	middle phalanx of manual digit 3
http://purl.obolibrary.org/obo/HP_0009477	Proximal/middle symphalangism of 4th finger	http://purl.obolibrary.org/obo/UBERON_0004330	proximal phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0004322	middle phalanx of manual digit 4
http://purl.obolibrary.org/obo/HP_0009177	Proximal/middle symphalangism of 5th finger	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009579	Proximal/middle symphalangism of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2	http://purl.obolibrary.org/obo/UBERON_0004320	middle phalanx of manual digit 2
http://purl.obolibrary.org/obo/HP_0000902	Rib fusion	http://purl.obolibrary.org/obo/UBERON_0002228	rib	http://purl.obolibrary.org/obo/UBERON_0002228	rib
http://purl.obolibrary.org/obo/HP_0010353	Second toe symphalangism	http://purl.obolibrary.org/obo/UBERON_0003641	pedal digit 2 phalanx	http://purl.obolibrary.org/obo/UBERON_0003641	pedal digit 2 phalanx
http://purl.obolibrary.org/obo/HP_0010191	Symphalangism affecting the distal phalanges of the toes	http://purl.obolibrary.org/obo/UBERON_0003867	distal phalanx of pes	http://purl.obolibrary.org/obo/UBERON_0003867	distal phalanx of pes
http://purl.obolibrary.org/obo/HP_0010419	Symphalangism affecting the distal phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0004316	distal phalanx of pedal digit 2	http://purl.obolibrary.org/obo/UBERON_0003641	pedal digit 2 phalanx
http://purl.obolibrary.org/obo/HP_0010082	Symphalangism affecting the distal phalanx of the hallux	http://purl.obolibrary.org/obo/UBERON_0004315	distal phalanx of pedal digit 1	http://purl.obolibrary.org/obo/UBERON_0004315	distal phalanx of pedal digit 1
http://purl.obolibrary.org/obo/HP_0010200	Symphalangism affecting the middle phalanges of the toes	http://purl.obolibrary.org/obo/UBERON_0003866	middle phalanx of pes	http://purl.obolibrary.org/obo/UBERON_0003866	middle phalanx of pes
http://purl.obolibrary.org/obo/HP_0010410	Symphalangism affecting the middle phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0004324	middle phalanx of pedal digit 2	http://purl.obolibrary.org/obo/UBERON_0004324	middle phalanx of pedal digit 2
http://purl.obolibrary.org/obo/HP_0010365	Symphalangism affecting the phalanges of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0003642	pedal digit 3 phalanx	http://purl.obolibrary.org/obo/UBERON_0003642	pedal digit 3 phalanx
http://purl.obolibrary.org/obo/HP_0010377	Symphalangism affecting the phalanges of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0003862	pedal digit 4 phalanx	http://purl.obolibrary.org/obo/UBERON_0003862	pedal digit 4 phalanx
http://purl.obolibrary.org/obo/HP_0010389	Symphalangism affecting the phalanges of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0003863	pedal digit 5 phalanx	http://purl.obolibrary.org/obo/UBERON_0003863	pedal digit 5 phalanx
http://purl.obolibrary.org/obo/HP_0010064	Symphalangism affecting the phalanges of the hallux	http://purl.obolibrary.org/obo/UBERON_0003640	pedal digit 1 phalanx	http://purl.obolibrary.org/obo/UBERON_0003640	pedal digit 1 phalanx
http://purl.obolibrary.org/obo/HP_0009773	Symphalangism affecting the phalanges of the hand	http://purl.obolibrary.org/obo/UBERON_0001436	phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0001436	phalanx of manus
http://purl.obolibrary.org/obo/HP_0010179	Symphalangism affecting the phalanges of the toes	http://purl.obolibrary.org/obo/UBERON_0001449	phalanx of pes	http://purl.obolibrary.org/obo/UBERON_0001449	phalanx of pes
http://purl.obolibrary.org/obo/HP_0010209	Symphalangism affecting the proximal phalanges of the toes	http://purl.obolibrary.org/obo/UBERON_0003868	proximal phalanx of pes	http://purl.obolibrary.org/obo/UBERON_0003868	proximal phalanx of pes
http://purl.obolibrary.org/obo/HP_0009586	Symphalangism affecting the proximal phalanx of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2
http://purl.obolibrary.org/obo/HP_0010401	Symphalangism affecting the proximal phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0004333	proximal phalanx of pedal digit 2	http://purl.obolibrary.org/obo/UBERON_0004333	proximal phalanx of pedal digit 2
http://purl.obolibrary.org/obo/HP_0009455	Symphalangism affecting the proximal phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004329	proximal phalanx of manual digit 3	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009314	Symphalangism affecting the proximal phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004330	proximal phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009232	Symphalangism affecting the proximal phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0010091	Symphalangism affecting the proximal phalanx of the hallux	http://purl.obolibrary.org/obo/UBERON_0004332	proximal phalanx of pedal digit 1	http://purl.obolibrary.org/obo/UBERON_0004332	proximal phalanx of pedal digit 1
http://purl.obolibrary.org/obo/HP_0009574	Symphalangism of middle phalanx of 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004320	middle phalanx of manual digit 2	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2
http://purl.obolibrary.org/obo/HP_0009435	Symphalangism of middle phalanx of 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004321	middle phalanx of manual digit 3	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009308	Symphalangism of middle phalanx of 4th finger	http://purl.obolibrary.org/obo/UBERON_0004322	middle phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009178	Symphalangism of middle phalanx of 5th finger	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009545	Symphalangism of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0003636	manual digit 2 phalanx	http://purl.obolibrary.org/obo/UBERON_0003636	manual digit 2 phalanx
http://purl.obolibrary.org/obo/HP_0009445	Symphalangism of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0003637	manual digit 3 phalanx	http://purl.obolibrary.org/obo/UBERON_0003637	manual digit 3 phalanx
http://purl.obolibrary.org/obo/HP_0004197	Symphalangism of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0003638	manual digit 4 phalanx	http://purl.obolibrary.org/obo/UBERON_0003638	manual digit 4 phalanx
http://purl.obolibrary.org/obo/HP_0004218	Symphalangism of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0003639	manual digit 5 phalanx	http://purl.obolibrary.org/obo/UBERON_0003639	manual digit 5 phalanx
http://purl.obolibrary.org/obo/HP_0009598	Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metacarpal	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2	http://purl.obolibrary.org/obo/UBERON_0003646	metacarpal bone of digit 2
http://purl.obolibrary.org/obo/HP_0009483	Symphalangism of the proximal phalanx of the 3rd finger with the 3rd metacarpal	http://purl.obolibrary.org/obo/UBERON_0004329	proximal phalanx of manual digit 3	http://purl.obolibrary.org/obo/UBERON_0003647	metacarpal bone of digit 3
http://purl.obolibrary.org/obo/HP_0009478	Symphalangism of the proximal phalanx of the 4th finger with the 4th metacarpal	http://purl.obolibrary.org/obo/UBERON_0004330	proximal phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0003648	metacarpal bone of digit 4
http://purl.obolibrary.org/obo/HP_0009234	Symphalangism of the proximal phalanx of the 5th finger with the 5th metacarpal	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0003649	metacarpal bone of digit 5
http://purl.obolibrary.org/obo/HP_0009140	Synostosis involving bones of the feet	http://purl.obolibrary.org/obo/UBERON_0001445	skeleton of pes	http://purl.obolibrary.org/obo/UBERON_0001445	skeleton of pes
http://purl.obolibrary.org/obo/HP_0004278	Synostosis involving bones of the hand	http://purl.obolibrary.org/obo/UBERON_0001442	skeleton of manus	http://purl.obolibrary.org/obo/UBERON_0001442	skeleton of manus
http://purl.obolibrary.org/obo/HP_0009138	Synostosis involving bones of the lower limbs	http://purl.obolibrary.org/obo/UBERON_0012476	skeleton of pelvic complex	http://purl.obolibrary.org/obo/UBERON_0012476	skeleton of pelvic complex
http://purl.obolibrary.org/obo/HP_0100235	Synostosis involving bones of the toes	http://purl.obolibrary.org/obo/UBERON_0004248	pedal digit bone	http://purl.obolibrary.org/obo/UBERON_0004248	pedal digit bone
http://purl.obolibrary.org/obo/HP_0100238	Synostosis involving bones of the upper limbs	http://purl.obolibrary.org/obo/UBERON_0012475	skeleton of pectoral complex	http://purl.obolibrary.org/obo/UBERON_0012475	skeleton of pectoral complex
http://purl.obolibrary.org/obo/HP_0009703	Synostosis involving the 1st metacarpal	http://purl.obolibrary.org/obo/UBERON_0003645	metacarpal bone of digit 1	http://purl.obolibrary.org/obo/UBERON_0003645	metacarpal bone of digit 1
http://purl.obolibrary.org/obo/HP_0010073	Synostosis involving the 1st metatarsal	http://purl.obolibrary.org/obo/UBERON_0003650	metatarsal bone of digit 1	http://purl.obolibrary.org/obo/UBERON_0003650	metatarsal bone of digit 1
http://purl.obolibrary.org/obo/HP_0005928	Synostosis involving the fibula	http://purl.obolibrary.org/obo/UBERON_0001446	fibula	http://purl.obolibrary.org/obo/UBERON_0001446	fibula
http://purl.obolibrary.org/obo/HP_0005929	Synostosis involving the tibia	http://purl.obolibrary.org/obo/UBERON_0000979	tibia	http://purl.obolibrary.org/obo/UBERON_0000979	tibia
http://purl.obolibrary.org/obo/HP_0100240	Synostosis of joints	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint	http://purl.obolibrary.org/obo/UBERON_0000982	skeletal joint
http://purl.obolibrary.org/obo/HP_0009640	Synostosis of the proximal phalanx of the thumb with the 1st metacarpal	http://purl.obolibrary.org/obo/UBERON_0004338	proximal phalanx of manual digit 1	http://purl.obolibrary.org/obo/UBERON_0003645	metacarpal bone of digit 1
http://purl.obolibrary.org/obo/HP_0009635	Synostosis of thumb phalanx	http://purl.obolibrary.org/obo/UBERON_0003620	manual digit 1 phalanx	http://purl.obolibrary.org/obo/UBERON_0003620	manual digit 1 phalanx
http://purl.obolibrary.org/obo/HP_0008368	Tarsal synostosis	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone	http://purl.obolibrary.org/obo/UBERON_0001447	tarsal bone
http://purl.obolibrary.org/obo/HP_0001770	Toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0001466	pedal digit	http://purl.obolibrary.org/obo/UBERON_0001466	pedal digit
http://purl.obolibrary.org/obo/HP_0002948	Vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0002412	vertebra	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum
