defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
http://purl.obolibrary.org/obo/HP_0010704	1-2 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0001463	manual digit 1	http://purl.obolibrary.org/obo/UBERON_0003622	manual digit 2
http://purl.obolibrary.org/obo/HP_0010711	1-2 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003631	pedal digit 1	http://purl.obolibrary.org/obo/UBERON_0003632	pedal digit 2
http://purl.obolibrary.org/obo/HP_0001233	2-3 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003622	manual digit 2	http://purl.obolibrary.org/obo/UBERON_0003623	manual digit 3
http://purl.obolibrary.org/obo/HP_0004691	2-3 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003632	pedal digit 2	http://purl.obolibrary.org/obo/UBERON_0003633	pedal digit 3
http://purl.obolibrary.org/obo/HP_0006097	3-4 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003623	manual digit 3	http://purl.obolibrary.org/obo/UBERON_0003624	manual digit 4
http://purl.obolibrary.org/obo/HP_0009779	3-4 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003633	pedal digit 3	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4
http://purl.obolibrary.org/obo/HP_0010705	4-5 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003625	manual digit 5	http://purl.obolibrary.org/obo/UBERON_0003624	manual digit 4
http://purl.obolibrary.org/obo/HP_0004692	4-5 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4	http://purl.obolibrary.org/obo/UBERON_0003635	pedal digit 5
http://purl.obolibrary.org/obo/HP_0009702	Carpal synostosis	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone
http://purl.obolibrary.org/obo/HP_0030281	Cervical C3/C4 vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0004612	mammalian cervical vertebra 3	http://purl.obolibrary.org/obo/UBERON_0004613	mammalian cervical vertebra 4
http://purl.obolibrary.org/obo/HP_0004635	Cervical C5/C6 vertebrae fusion	http://purl.obolibrary.org/obo/UBERON_0004614	mammalian cervical vertebra 5	http://purl.obolibrary.org/obo/UBERON_0004615	mammalian cervical vertebra 6
http://purl.obolibrary.org/obo/HP_0001859	Distal foot symphalangism	http://purl.obolibrary.org/obo/UBERON_0002387	pes	http://purl.obolibrary.org/obo/UBERON_0002387	pes
http://purl.obolibrary.org/obo/HP_0001204	Distal symphalangism of hands	http://purl.obolibrary.org/obo/UBERON_0003865	distal phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003864	middle phalanx of manus
http://purl.obolibrary.org/obo/HP_0009563	Distal/middle symphalangism of 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004311	distal phalanx of manual digit 2	http://purl.obolibrary.org/obo/UBERON_0004320	middle phalanx of manual digit 2
http://purl.obolibrary.org/obo/HP_0009426	Distal/middle symphalangism of 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004312	distal phalanx of manual digit 3	http://purl.obolibrary.org/obo/UBERON_0004321	middle phalanx of manual digit 3
http://purl.obolibrary.org/obo/HP_0009305	Distal/middle symphalangism of 4th finger	http://purl.obolibrary.org/obo/UBERON_0004313	distal phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0004322	middle phalanx of manual digit 4
http://purl.obolibrary.org/obo/HP_0009244	Distal/middle symphalangism of 5th finger	http://purl.obolibrary.org/obo/UBERON_0004314	distal phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5
http://purl.obolibrary.org/obo/HP_0009754	Fibrous syngnathia	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge
http://purl.obolibrary.org/obo/HP_0009700	Finger symphalangism	http://purl.obolibrary.org/obo/UBERON_0004249	manual digit bone	http://purl.obolibrary.org/obo/UBERON_0004249	manual digit bone
http://purl.obolibrary.org/obo/HP_0006101	Finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0002389	manual digit	http://purl.obolibrary.org/obo/UBERON_0002389	manual digit
http://purl.obolibrary.org/obo/HP_0002949	Fused cervical vertebrae	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra
http://purl.obolibrary.org/obo/HP_0000063	Fused labia minora	http://purl.obolibrary.org/obo/UBERON_0004014	labium minora	http://purl.obolibrary.org/obo/UBERON_0004014	labium minora
http://purl.obolibrary.org/obo/HP_0100788	Fused lips	http://purl.obolibrary.org/obo/UBERON_0001833	lip	http://purl.obolibrary.org/obo/UBERON_0001833	lip
http://purl.obolibrary.org/obo/HP_0030040	Fused lumbar vertebrae	http://purl.obolibrary.org/obo/UBERON_0002414	lumbar vertebra	http://purl.obolibrary.org/obo/UBERON_0002414	lumbar vertebra
http://purl.obolibrary.org/obo/HP_0030039	Fused thoracic vertebrae	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra	http://purl.obolibrary.org/obo/UBERON_0002347	thoracic vertebra
