defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0030684	Abnormal adiponectin level	http://purl.obolibrary.org/obo/PR_Q15848	adiponectin (human)
http://purl.obolibrary.org/obo/HP_0410359	Abnormal core 1 O-glycan level	http://purl.obolibrary.org/obo/CHEBI_546807	beta-D-Galp-(1->3)-D-GalpNAc
http://purl.obolibrary.org/obo/HP_0410176	Abnormal glucose-6-phosphate dehydrogenase level	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0410192	Abnormal uridine diphosphate glucose-4-epimerase level	http://purl.obolibrary.org/obo/PR_000007812	UDP-glucose 4-epimerase
http://purl.obolibrary.org/obo/HP_0004379	Abnormality of alkaline phosphatase level	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme
