defined_class	defined_class_label	biological_process	biological_process_label
http://purl.obolibrary.org/obo/HP_0003451	Increased rate of premature chromosome condensation	http://purl.obolibrary.org/obo/GO_0030261	chromosome condensation
http://purl.obolibrary.org/obo/HP_0000826	Precocious puberty	http://purl.obolibrary.org/obo/GO_0045136	development of secondary sexual characteristics
http://purl.obolibrary.org/obo/HP_0010465	Precocious puberty in females	http://purl.obolibrary.org/obo/GO_0046543	development of secondary female sexual characteristics
http://purl.obolibrary.org/obo/HP_0008185	Precocious puberty in males	http://purl.obolibrary.org/obo/GO_0046544	development of secondary male sexual characteristics
http://purl.obolibrary.org/obo/HP_0001622	Premature birth	http://purl.obolibrary.org/obo/GO_0007567	parturition
http://purl.obolibrary.org/obo/HP_0200024	Premature chromatid separation	http://purl.obolibrary.org/obo/GO_0000819	sister chromatid segregation
http://purl.obolibrary.org/obo/HP_0012876	Premature ejaculation	http://purl.obolibrary.org/obo/GO_0042713	sperm ejaculation
http://purl.obolibrary.org/obo/HP_0010314	Premature thelarche	http://purl.obolibrary.org/obo/GO_0042695	thelarche
