defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0011362	Abnormal hair quantity	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair
http://purl.obolibrary.org/obo/HP_0010813	Abnormal number of hair whorls	http://purl.obolibrary.org/obo/UBERON_0014381	whorl of hair
http://purl.obolibrary.org/obo/HP_0011064	Abnormal number of incisors	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth
http://purl.obolibrary.org/obo/HP_0011044	Abnormal number of permanent teeth	http://purl.obolibrary.org/obo/UBERON_0007774	secondary dentition
http://purl.obolibrary.org/obo/HP_0006483	Abnormal number of teeth	http://purl.obolibrary.org/obo/UBERON_0001091	calcareous tooth
