defined_class	defined_class_label	cell	cell_label	location	location_label
http://purl.obolibrary.org/obo/HP_0020112	Increased proportion of CD4+CD25+ regulatory T cells	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0032125	Increased proportion of unswitched memory B cells	http://purl.obolibrary.org/obo/CL_0000970	unswitched memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
