defined_class	defined_class_label	cell	cell_label	compared_cell	compared_cell_label	location	location_label
http://purl.obolibrary.org/obo/HP_0020111	Abnormal CD4+CD25+ regulatory T cell proportion	http://purl.obolibrary.org/obo/CL_0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0500263	Abnormal helper T cell proportion	http://purl.obolibrary.org/obo/CL_0000912	helper T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0032127	Abnormal plasmablast proportion	http://purl.obolibrary.org/obo/CL_0000980	plasmablast	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0025620	Abnormal proportion of CD4+ central memory cells	http://purl.obolibrary.org/obo/CL_0000904	central memory CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0025623	Abnormal proportion of CD4+ effector memory cells	http://purl.obolibrary.org/obo/CL_0001044	effector CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0031392	Abnormal proportion of CD4-positive T cells	http://purl.obolibrary.org/obo/CL_0000624	CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0500267	Abnormal proportion of CD4-positive helper T cells	http://purl.obolibrary.org/obo/CL_0000492	CD4-positive helper T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0410379	Abnormal proportion of CD4-positive, alpha-beta memory T cells	http://purl.obolibrary.org/obo/CL_0000897	CD4-positive, alpha-beta memory T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0031393	Abnormal proportion of CD8-positive T cells	http://purl.obolibrary.org/obo/CL_0000625	CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0020177	Abnormal proportion of CD8-positive, alpha-beta TEMRA T cells	http://purl.obolibrary.org/obo/CL_0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0410380	Abnormal proportion of CD8-positive, alpha-beta memory T cells	http://purl.obolibrary.org/obo/CL_0000909	CD8-positive, alpha-beta memory T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0410384	Abnormal proportion of central memory CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0000907	central memory CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0030386	Abnormal proportion of class-switched memory B cells	http://purl.obolibrary.org/obo/CL_0000972	class switched memory B cell	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0410383	Abnormal proportion of effector memory CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0000913	effector memory CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
http://purl.obolibrary.org/obo/HP_0041080	Abnormal proportion of exhausted T cells	http://purl.obolibrary.org/obo/CL_0011025	exhausted T cell	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood
