defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/HP_0001465	Amyotrophy involving the shoulder musculature	http://purl.obolibrary.org/obo/UBERON_0004476	musculature of shoulder
http://purl.obolibrary.org/obo/HP_0410279	Atrophic pituitary gland	http://purl.obolibrary.org/obo/UBERON_0000007	pituitary gland
http://purl.obolibrary.org/obo/HP_0030286	Atrophic superior cerebellar peduncle	http://purl.obolibrary.org/obo/UBERON_0007709	superior cerebellar peduncle of pons
http://purl.obolibrary.org/obo/HP_0006308	Atrophy of alveolar ridges	http://purl.obolibrary.org/obo/UBERON_0004103	alveolar ridge
http://purl.obolibrary.org/obo/HP_0045085	Atrophy of masseter muscle	http://purl.obolibrary.org/obo/UBERON_0001597	masseter muscle
http://purl.obolibrary.org/obo/HP_0007047	Atrophy of the dentate nucleus	http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus
http://purl.obolibrary.org/obo/HP_0040287	Axial muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0003897	axial muscle
http://purl.obolibrary.org/obo/HP_0012444	Brain atrophy	http://purl.obolibrary.org/obo/UBERON_0000955	brain
http://purl.obolibrary.org/obo/HP_0002340	Caudate atrophy	http://purl.obolibrary.org/obo/UBERON_0001873	caudate nucleus
http://purl.obolibrary.org/obo/HP_0001272	Cerebellar atrophy	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum
http://purl.obolibrary.org/obo/HP_0008278	Cerebellar cortical atrophy	http://purl.obolibrary.org/obo/UBERON_0002129	cerebellar cortex
http://purl.obolibrary.org/obo/HP_0006855	Cerebellar vermis atrophy	http://purl.obolibrary.org/obo/UBERON_0004720	cerebellar vermis
http://purl.obolibrary.org/obo/HP_0002059	Cerebral atrophy	http://purl.obolibrary.org/obo/UBERON_0001893	telencephalon
http://purl.obolibrary.org/obo/HP_0002120	Cerebral cortical atrophy	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex
http://purl.obolibrary.org/obo/HP_0007371	Corpus callosum atrophy	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum
http://purl.obolibrary.org/obo/HP_0007117	Corticospinal tract atrophy	http://purl.obolibrary.org/obo/UBERON_0002707	corticospinal tract
http://purl.obolibrary.org/obo/HP_0004334	Dermal atrophy	http://purl.obolibrary.org/obo/UBERON_0002097	skin of body
http://purl.obolibrary.org/obo/HP_0003426	First dorsal interossei muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0002988	first dorsal interosseous of manus
http://purl.obolibrary.org/obo/HP_0001099	Fundus atrophy	http://purl.obolibrary.org/obo/UBERON_0003951	ocular fundus
http://purl.obolibrary.org/obo/HP_0009130	Hand muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0004489	musculature of manus
http://purl.obolibrary.org/obo/HP_0410170	Hippocampal atrophy	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal formation
http://purl.obolibrary.org/obo/HP_0025058	Hypothalamic atrophy	http://purl.obolibrary.org/obo/UBERON_0001898	hypothalamus
http://purl.obolibrary.org/obo/HP_0007181	Interosseus muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0001502	interosseous muscle of manus
http://purl.obolibrary.org/obo/HP_0001089	Iris atrophy	http://purl.obolibrary.org/obo/UBERON_0001769	iris
http://purl.obolibrary.org/obo/HP_0012241	Levator palpebrae superioris atrophy	http://purl.obolibrary.org/obo/UBERON_0001604	levator palpebrae superioris
http://purl.obolibrary.org/obo/HP_0003797	Limb-girdle muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0004480	musculature of limb
http://purl.obolibrary.org/obo/HP_0007210	Lower limb amyotrophy	http://purl.obolibrary.org/obo/UBERON_0004482	musculature of lower limb
http://purl.obolibrary.org/obo/HP_0000648	Optic atrophy	http://purl.obolibrary.org/obo/UBERON_0000941	cranial nerve II
http://purl.obolibrary.org/obo/HP_0012037	Pectoralis amyotrophy	http://purl.obolibrary.org/obo/UBERON_0001495	pectoral muscle
http://purl.obolibrary.org/obo/HP_0008988	Pelvic girdle muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0001497	muscle of pelvic girdle
http://purl.obolibrary.org/obo/HP_0009049	Peroneal muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0009132	peroneus
http://purl.obolibrary.org/obo/HP_0009050	Quadriceps muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0001377	quadriceps femoris
http://purl.obolibrary.org/obo/HP_0040191	Rectus femoris muscle atrophy	http://purl.obolibrary.org/obo/UBERON_0001378	rectus femoris
http://purl.obolibrary.org/obo/HP_0012585	Renal atrophy	http://purl.obolibrary.org/obo/UBERON_0002113	kidney
http://purl.obolibrary.org/obo/HP_0002048	Renal cortical atrophy	http://purl.obolibrary.org/obo/UBERON_0001225	cortex of kidney
http://purl.obolibrary.org/obo/HP_0000092	Renal tubular atrophy	http://purl.obolibrary.org/obo/UBERON_0001231	nephron tubule
