defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/HP_0004660	Hypoplasia of facial musculature	http://purl.obolibrary.org/obo/UBERON_0001015	musculature	http://purl.obolibrary.org/obo/UBERON_0004473	musculature of face
http://purl.obolibrary.org/obo/HP_0002692	Hypoplastic facial bones	http://purl.obolibrary.org/obo/UBERON_0001474	bone element	http://purl.obolibrary.org/obo/UBERON_0001456	face
